protein	lifestyle	call	catalytic_residues
Ramac1_1324834	SAP	fragment	-D
Ramac1_1367457	SAP	fragment	H-
Ramac1_1407476	SAP	fragment	H-
Ramac1_1417078	SAP	disrupted	HE
Ramac1_1638543	SAP	fragment	H-
Ramac1_1644519	SAP	disrupted	HD
Ramac1_1646890	SAP	fragment	H-
Ramac1_1663115	SAP	fragment	H-
Ramac1_494292	SAP	fragment	H-
Rhivi1_700091	ECM	fragment	H-
Rhivi1_700094	ECM	fragment	H-
Rhivi1_714890	ECM	fragment	H-
Punst1_101138	PATH	disrupted	HD
Punst1_116524	PATH	disrupted	HD
Punst1_130136	PATH	fragment	H-
Punst1_130140	PATH	fragment	H-
Punst1_133104	PATH	fragment	-D
Punst1_134886	PATH	disrupted	HE
Punst1_134887	PATH	disrupted	HE
Punst1_143617	PATH	fragment	H-
Punst1_62012	PATH	disrupted	HA
Punst1_74923	PATH	disrupted	HD
Punst1_80948	PATH	fragment	H-
Punst1_94036	PATH	fragment	H-
Punst1_96583	PATH	disrupted	HD
Punst1_98263	PATH	fragment	H-
Calful1_709003	SAP	fragment	H-
Calful1_709269	SAP	disrupted	HQ
Calful1_725819	SAP	disrupted	HG
Calful1_735446	SAP	disrupted	HD
Calful1_738208	SAP	disrupted	HD
Calful1_748533	SAP	disrupted	HD
Calful1_761145	SAP	fragment	H-
Calful1_788445	SAP	disrupted	HE
Calful1_818338	SAP	disrupted	HG
Calful1_825109	SAP	fragment	H-
Calful1_831481	SAP	disrupted	HE
Calful1_839777	SAP	fragment	H-
Bolcoc1_2023146	ECM	fragment	H-
Bolcoc1_2023177	ECM	fragment	H-
Bolcoc1_2023196	ECM	fragment	H-
Bolcoc1_2023198	ECM	fragment	H-
Bolcoc1_2039286	ECM	fragment	H-
Bolcoc1_2263555	ECM	fragment	H-
Pisthe227_1_1153354	ECM	fragment	H-
Pisthe227_1_1898723	ECM	fragment	H-
Pisthe227_1_2082275	ECM	fragment	H-
Amapyr1_2269988	ECM	fragment	H-
Amapyr1_844652	ECM	fragment	H-
Lacpsa1_1294611	ECM	fragment	H-
Ser411_1_1097737	ORM	disrupted	HE
Ser411_1_1097743	ORM	disrupted	HD
