portal	lifestyle	pcwde_count	total_cazyme
Gloin1	AM	3	181
Rhivi1	ECM	34	268
Bolcoc1	ECM	38	248
Pisthe227_1	ECM	23	228
Amapyr1	ECM	17	247
Lacpsa1	ECM	12	300
Suiac1	ECM	43	284
Suisu1	ECM	44	280
Suipic1	ECM	42	306
Kalpfe1	ECM	43	237
Suidis1	ECM	37	282
Paxru2	ECM	26	230
Suipse1	ECM	34	259
Lacbi2	ECM	41	331
Piswes1	ECM	17	226
Gaumor1_1	ECM	40	358
Tylfel1	ECM	28	272
RusbicECM9_1	ECM	13	211
Leuca1	ECM	35	229
Ruseme1	ECM	13	233
Ruscom1	ECM	15	202
Suipun1	ECM	34	240
Suicol1	ECM	38	310
Tirniv1	ECM	32	215
Suielb1	ECM	31	281
Tubcan1	ECM	20	213
Descmac1	ECM	37	324
Pilbys1	ECM	45	392
Rusnee1	ECM	14	290
Corsan2	ECM	34	381
Rusdis1	ECM	16	207
Suivar1	ECM	39	278
Paxin1	ECM	33	271
Cananz1	ECM	29	261
Sclci1	ECM	22	232
Lactab1	ECM	24	311
Rusoch1	ECM	17	258
Ruscya1	ECM	26	360
Chapip1	ECM	42	289
Lachen1	ECM	12	297
Melbro1	ECM	36	290
Suigla1	ECM	41	306
Suibru1_1	ECM	40	321
Rusrug1	ECM	18	233
Suisub1	ECM	37	265
Xerpru1	ECM	38	298
Suioch1	ECM	35	284
Rhisa1	ECM	34	269
Morco1	ECM	111	369
Rhitru1	ECM	36	223
Penswi1	ECM	74	494
Corab1	ECM	33	344
Amarub1	ECM	20	332
Lacaka1	ECM	15	282
RusSA2_1	ECM	24	243
Suicot1	ECM	48	321
Lactsubd1	ECM	22	303
Laccon1	ECM	12	273
Suibr2	ECM	35	283
Suigra1	ECM	33	260
CorKIS3_1	ECM	34	296
Suiplo1	ECM	36	285
Matter1	ECM	82	300
Pismar1	ECM	26	264
Suqu227_1	ECM	33	256
Piclef1	ECM	32	236
Lacpse1	ECM	12	352
ElagrMar1	ECM	17	262
Hebcy2	ECM	43	319
Muloch1	ECM	15	247
Boled5	ECM	41	298
Pisthe1	ECM	23	242
Russem1	ECM	17	224
Lacind1	ECM	11	322
Tercla1	ECM	28	200
Rusvin1	ECM	15	223
Chove1	ECM	78	316
Lacsan1	ECM	14	305
Theter1	ECM	26	208
Piscap1	ECM	17	194
Lacdel1	ECM	12	330
Suipunc1	ECM	31	255
CorTAS3_1	ECM	33	284
Amamu1	ECM	27	278
Pismar721_1	ECM	23	236
Hyssto1	ECM	23	325
Trima3	ECM	29	298
Cenge3	ECM	37	336
Corcam1	ECM	36	320
Sclyun1	ECM	16	213
Amagr1	ECM	34	332
Rusear1	ECM	33	269
Suiame1	ECM	41	278
Lacam2	ECM	37	287
SuiFC429_1	ECM	37	266
Suiplac1	ECM	30	252
Suiqui1	ECM	32	257
LaccKIS6_1	ECM	75	619
Suilquie1	ECM	33	258
Tubmel1	ECM	25	227
Geocar1	ECM	115	409
Rusbre1	ECM	14	234
Elamur1	ECM	18	241
Pilsph1	ECM	40	333
Corarc1	ECM	35	321
Lachat1	ECM	13	321
Kurarg1	ECM	69	360
Pismi_AB1_1	ECM	19	199
Parsph2	ECM	31	243
Suqu222_1	ECM	33	255
RusKIS4_1_1	ECM	16	234
Suitom1	ECM	35	281
Trihyb1	ECM	27	232
Coraus1	ECM	32	308
Lacviv1	ECM	13	275
Gyrli1	ECM	31	249
Piscro1	ECM	22	237
Tripop1	ECM	31	318
RusdecM1	ECM	14	223
Suifus1	ECM	36	281
Wilmi1	ECM	39	259
Suivis2	ECM	37	318
Tubgib1	ECM	19	205
Xylhe1	ENDO	8	201
Phisc1	ENDO	166	748
Melva1	ERM	183	813
MelPMI1271_1	ERM	112	604
Rhier1	ERM	87	480
Hyafin1	ERM	107	592
Hyavar1	ERM	177	801
Melbi2	ERM	121	642
Oidma1	ERM	144	814
Usnflo1	LICHEN	25	312
Ser411_1	ORM	149	373
Tulinq1	ORM	180	529
Ser405_1	ORM	146	369
Ser400_1	ORM	143	373
Tulca1	ORM	207	520
Sebve1	ORM	155	436
Serend1	ORM	141	369
Tulsp812A_1	ORM	232	725
Punst1	PATH	98	454
Hetan2	PATH	67	388
Thacu1	PATH	267	706
Asppari1	PATH	130	595
Stasp1	PATH	168	672
Altal1	PATH	167	636
Ramac1	SAP	80	462
Calful1	SAP	61	267
Gyresc1	SAP	110	361
Xylhyp1	SAP	128	539
Amore1	SAP	26	297
ClaPMI390	SAP	142	521
Aurpu_var_pul1	SAP	131	506
Leppa1	SAP	33	330
Ascim1	SAP	106	361
Botbo1	SAP	109	415
Gyman1	SAP	126	669
Trire2	SAP	37	370
Bissp1	SAP	165	737
Fibsp1	SAP	182	721
Chalo1	SAP	195	810
Crula1	SAP	142	577
Neucr_trp3_1	SAP	67	357
Amath1	SAP	76	389
Walse1	SAP	21	124
Neole1	WD	56	332
Sisni1	WD	83	342
Plicr1	WD	70	362
Phlbr1	WD	75	435
Hypsu1	WD	90	474
Dacsp1	WD	52	290
Treme1	WD	14	170
Schco3	WD	112	464
Aurde3_1	WD	174	700
Conpu1	WD	75	406
Pleost1	WD	129	525
Phchr2	WD	80	388
Jaaar1	WD	94	367
Sphst1	WD	201	813
PosplRSB12_1	WD	43	278
Canta1	YEAST	6	137
Wican1	YEAST	5	169
