portal	lifestyle	pcwde_count	total_cazyme	func_count	assessed_count
Altal1	PATH	167	636	29	36
Amagr1	ECM	34	332	13	18
Amamu1	ECM	27	278	11	12
Amapyr1	ECM	17	247	10	13
Amarub1	ECM	20	332	10	12
Amath1	SAP	76	389	24	26
Amore1	SAP	26	297	13	13
Ascim1	SAP	106	361	20	20
Asppari1	PATH	130	595	29	39
Aurde3_1	WD	174	700	58	61
Aurpu_var_pul1	SAP	131	506	30	41
Bissp1	SAP	165	737	34	37
Bolcoc1	ECM	38	248	14	17
Boled5	ECM	41	298	16	21
Botbo1	SAP	109	415	34	41
Calful1	SAP	61	267	11	13
Cananz1	ECM	29	261	17	17
Canta1	YEAST	6	137	5	5
Cenge3	ECM	37	336	10	15
Chalo1	SAP	195	810	61	73
Chapip1	ECM	42	289	23	24
Chove1	ECM	78	316	16	19
ClaPMI390	SAP	142	521	59	62
Conpu1	WD	75	406	34	36
CorKIS3_1	ECM	34	296	15	18
CorTAS3_1	ECM	33	284	16	19
Corab1	ECM	33	344	22	23
Corarc1	ECM	35	321	18	22
Coraus1	ECM	32	308	17	18
Corcam1	ECM	36	320	13	23
Corsan2	ECM	34	381	18	21
Crula1	SAP	142	577	40	44
Dacsp1	WD	52	290	25	30
Descmac1	ECM	37	324	18	21
ElagrMar1	ECM	17	262	10	10
Elamur1	ECM	18	241	9	9
Fibsp1	SAP	182	721	80	98
Gaumor1_1	ECM	40	358	21	23
Geocar1	ECM	115	409	26	28
Gloin1	AM	3	181	3	3
Gyman1	SAP	126	669	46	53
Gyresc1	SAP	110	361	21	24
Gyrli1	ECM	31	249	14	17
Hebcy2	ECM	43	319	19	21
Hetan2	PATH	67	388	24	26
Hyafin1	ERM	107	592	40	43
Hyavar1	ERM	177	801	53	66
Hypsu1	WD	90	474	35	38
Hyssto1	ECM	23	325	12	14
Jaaar1	WD	94	367	41	49
Kalpfe1	ECM	43	237	11	12
Kurarg1	ECM	69	360	27	28
Lacaka1	ECM	15	282	9	10
Lacam2	ECM	37	287	19	25
Lacbi2	ECM	41	331	21	26
LaccKIS6_1	ECM	75	619	37	54
Laccon1	ECM	12	273	8	9
Lacdel1	ECM	12	330	8	9
Lachat1	ECM	13	321	8	10
Lachen1	ECM	12	297	8	9
Lacind1	ECM	11	322	8	9
Lacpsa1	ECM	12	300	7	9
Lacpse1	ECM	12	352	8	9
Lacsan1	ECM	14	305	9	11
Lactab1	ECM	24	311	10	17
Lactsubd1	ECM	22	303	9	13
Lacviv1	ECM	13	275	9	10
Leppa1	SAP	33	330	13	14
Leuca1	ECM	35	229	12	13
Matter1	ECM	82	300	24	25
MelPMI1271_1	ERM	112	604	38	42
Melbi2	ERM	121	642	41	45
Melbro1	ECM	36	290	15	17
Melva1	ERM	183	813	55	68
Morco1	ECM	111	369	23	26
Muloch1	ECM	15	247	11	12
Neole1	WD	56	332	29	32
Neucr_trp3_1	SAP	67	357	15	16
Oidma1	ERM	144	814	46	55
Parsph2	ECM	31	243	17	18
Paxin1	ECM	33	271	16	21
Paxru2	ECM	26	230	15	17
Penswi1	ECM	74	494	21	24
Phchr2	WD	80	388	30	32
Phisc1	ENDO	166	748	57	63
Phlbr1	WD	75	435	31	32
Piclef1	ECM	32	236	9	10
Pilbys1	ECM	45	392	17	25
Pilsph1	ECM	40	333	20	22
Piscap1	ECM	17	194	9	10
Piscro1	ECM	22	237	11	14
Pismar1	ECM	26	264	9	13
Pismar721_1	ECM	23	236	11	15
Pismi_AB1_1	ECM	19	199	8	12
Pisthe1	ECM	23	242	12	15
Pisthe227_1	ECM	23	228	10	13
Piswes1	ECM	17	226	9	10
Pleost1	WD	129	525	40	45
Plicr1	WD	70	362	26	29
PosplRSB12_1	WD	43	278	24	25
Punst1	PATH	98	454	34	35
Ramac1	SAP	80	462	28	32
Rhier1	ERM	87	480	33	37
Rhisa1	ECM	34	269	19	21
Rhitru1	ECM	36	223	17	19
Rhivi1	ECM	34	268	15	18
RusKIS4_1_1	ECM	16	234	7	8
RusSA2_1	ECM	24	243	10	11
RusbicECM9_1	ECM	13	211	8	9
Rusbre1	ECM	14	234	9	11
Ruscom1	ECM	15	202	10	11
Ruscya1	ECM	26	360	16	23
RusdecM1	ECM	14	223	10	11
Rusdis1	ECM	16	207	10	13
Rusear1	ECM	33	269	14	17
Ruseme1	ECM	13	233	8	9
Rusnee1	ECM	14	290	9	10
Rusoch1	ECM	17	258	10	12
Rusrug1	ECM	18	233	7	12
Russem1	ECM	17	224	7	8
Rusvin1	ECM	15	223	9	12
Schco3	WD	112	464	22	22
Sclci1	ECM	22	232	11	13
Sclyun1	ECM	16	213	8	9
Sebve1	ORM	155	436	41	45
Ser400_1	ORM	143	373	33	39
Ser405_1	ORM	146	369	34	38
Ser411_1	ORM	149	373	34	38
Serend1	ORM	141	369	35	39
Sisni1	WD	83	342	32	35
Sphst1	WD	201	813	50	58
Stasp1	PATH	168	672	30	36
SuiFC429_1	ECM	37	266	20	22
Suiac1	ECM	43	284	21	28
Suiame1	ECM	41	278	21	26
Suibr2	ECM	35	283	19	23
Suibru1_1	ECM	40	321	21	25
Suicol1	ECM	38	310	20	24
Suicot1	ECM	48	321	23	30
Suidis1	ECM	37	282	22	23
Suielb1	ECM	31	281	16	18
Suifus1	ECM	36	281	21	23
Suigla1	ECM	41	306	22	26
Suigra1	ECM	33	260	18	21
Suilquie1	ECM	33	258	17	21
Suioch1	ECM	35	284	17	20
Suipic1	ECM	42	306	23	25
Suiplac1	ECM	30	252	16	18
Suiplo1	ECM	36	285	21	24
Suipse1	ECM	34	259	17	22
Suipun1	ECM	34	240	18	22
Suipunc1	ECM	31	255	19	22
Suiqui1	ECM	32	257	17	20
Suisu1	ECM	44	280	20	29
Suisub1	ECM	37	265	18	24
Suitom1	ECM	35	281	20	23
Suivar1	ECM	39	278	20	24
Suivis2	ECM	37	318	18	22
Suqu222_1	ECM	33	255	18	21
Suqu227_1	ECM	33	256	18	21
Tercla1	ECM	28	200	10	12
Thacu1	PATH	267	706	69	76
Theter1	ECM	26	208	17	17
Tirniv1	ECM	32	215	7	11
Treme1	WD	14	170	13	13
Trihyb1	ECM	27	232	7	7
Trima3	ECM	29	298	16	18
Tripop1	ECM	31	318	17	18
Trire2	SAP	37	370	15	15
Tubcan1	ECM	20	213	5	6
Tubgib1	ECM	19	205	6	7
Tubmel1	ECM	25	227	8	9
Tulca1	ORM	207	520	55	82
Tulinq1	ORM	180	529	62	72
Tulsp812A_1	ORM	232	725	64	69
Tylfel1	ECM	28	272	14	15
Usnflo1	LICHEN	25	312	9	10
Walse1	SAP	21	124	9	9
Wican1	YEAST	5	169	4	4
Wilmi1	ECM	39	259	10	10
Xerpru1	ECM	38	298	17	19
Xylhe1	ENDO	8	201	5	5
