portal	lifestyle	GH7	GH6	GH28	GH5
Altal1	PATH	4	3	7	15
Amagr1	ECM	0	0	0	13
Amamu1	ECM	0	0	0	11
Amapyr1	ECM	0	0	0	10
Amarub1	ECM	0	0	0	10
Amath1	SAP	1	1	4	18
Amore1	SAP	0	0	3	10
Ascim1	SAP	5	4	1	10
Asppari1	PATH	3	1	13	12
Aurde3_1	WD	6	2	12	38
Aurpu_var_pul1	SAP	1	1	12	16
Bissp1	SAP	3	3	7	21
Bolcoc1	ECM	0	0	3	11
Boled5	ECM	0	0	3	13
Botbo1	SAP	7	3	2	22
Calful1	SAP	0	2	3	6
Cananz1	ECM	1	0	2	14
Canta1	YEAST	0	0	0	5
Cenge3	ECM	0	0	3	7
Chalo1	SAP	10	3	17	31
Chapip1	ECM	1	0	7	15
Chove1	ECM	0	3	3	10
ClaPMI390	SAP	5	2	16	36
Conpu1	WD	2	1	12	19
CorKIS3_1	ECM	0	0	2	13
CorTAS3_1	ECM	0	0	2	14
Corab1	ECM	0	0	2	20
Corarc1	ECM	0	0	4	14
Coraus1	ECM	0	0	2	15
Corcam1	ECM	0	1	2	10
Corsan2	ECM	0	0	2	16
Crula1	SAP	10	4	4	22
Dacsp1	WD	0	0	5	20
Descmac1	ECM	2	0	2	14
ElagrMar1	ECM	0	0	2	8
Elamur1	ECM	0	0	1	8
Fibsp1	SAP	20	1	15	44
Gaumor1_1	ECM	1	2	5	13
Geocar1	ECM	3	3	5	15
Gloin1	AM	0	0	0	3
Gyman1	SAP	10	1	14	21
Gyresc1	SAP	2	2	3	14
Gyrli1	ECM	0	0	4	10
Hebcy2	ECM	1	0	3	15
Hetan2	PATH	1	1	7	15
Hyafin1	ERM	4	2	14	20
Hyavar1	ERM	9	4	14	26
Hypsu1	WD	4	1	5	25
Hyssto1	ECM	0	0	4	8
Jaaar1	WD	5	2	7	27
Kalpfe1	ECM	1	1	0	9
Kurarg1	ECM	3	1	4	19
Lacaka1	ECM	0	0	0	9
Lacam2	ECM	0	0	1	18
