protein	lifestyle	call	catalytic_residues
Ramac1_1338959	SAP	intact	D
Ramac1_1647399	SAP	intact	D
Punst1_89180	PATH	intact	D
Calful1_839087	SAP	intact	D
Calful1_888613	SAP	intact	D
Ser411_1_1370073	ORM	intact	D
Ser411_1_1398783	ORM	intact	D
Ser411_1_233508	ORM	intact	D
Gyresc1_487796	SAP	intact	D
Gyresc1_607187	SAP	intact	D
Kalpfe1_689862	ECM	intact	D
Gaumor1_1_2735439	ECM	intact	D
Gaumor1_1_3083267	ECM	intact	D
Leuca1_1028232	ECM	intact	D
Leuca1_1160812	ECM	intact	D
Leuca1_989122	ECM	intact	D
Melva1_490285	ERM	intact	D
Melva1_552002	ERM	intact	D
Melva1_554306	ERM	intact	D
Melva1_598539	ERM	intact	D
Tirniv1_714634	ECM	intact	D
Xylhyp1_465679	SAP	intact	D
Xylhyp1_465881	SAP	intact	D
Xylhyp1_477694	SAP	disrupted	G
MelPMI1271_1_299266	ERM	intact	D
MelPMI1271_1_474032	ERM	intact	D
Sisni1_468947	WD	intact	D
Sisni1_485627	WD	intact	D
Sisni1_489283	WD	intact	D
Sisni1_494703	WD	intact	D
Plicr1_111077	WD	intact	D
Plicr1_612990	WD	intact	D
ClaPMI390_2197229	SAP	intact	D
ClaPMI390_2227547	SAP	intact	D
Tulinq1_1448790	ORM	intact	D
Tulinq1_1640091	ORM	intact	D
Hetan2_60114	PATH	intact	D
Ser405_1_1047559	ORM	intact	D
Ser405_1_1104404	ORM	intact	D
Ser405_1_720899	ORM	intact	D
Morco1_515444	ECM	intact	D
Morco1_553765	ECM	intact	D
Morco1_57740	ECM	intact	D
Phlbr1_82084	WD	intact	D
Thacu1_339978	PATH	intact	D
Thacu1_619030	PATH	intact	D
Thacu1_735029	PATH	intact	D
Penswi1_360709	ECM	intact	D
Aurpu_var_pul1_274584	SAP	intact	D
Ser400_1_1058496	ORM	intact	D
Ser400_1_1104785	ORM	intact	D
Ser400_1_508928	ORM	intact	D
Matter1_870177	ECM	intact	D
Matter1_88448	ECM	intact	D
Matter1_888291	ECM	intact	D
Matter1_916181	ECM	intact	D
Ascim1_204477	SAP	intact	D
Ascim1_209633	SAP	intact	D
Ascim1_415546	SAP	intact	D
Ascim1_81605	SAP	intact	D
Hypsu1_35736	WD	intact	D
Botbo1_163686	SAP	intact	D
Botbo1_176436	SAP	intact	D
Botbo1_643090	SAP	intact	D
Phisc1_613046	ENDO	intact	D
Phisc1_706718	ENDO	intact	D
Phisc1_790573	ENDO	intact	D
Tulca1_13321	ORM	intact	D
Tulca1_15810	ORM	intact	D
Tulca1_237039	ORM	intact	D
Tulca1_25151	ORM	fragment	-
Tulca1_27166	ORM	intact	D
Tulca1_68962	ORM	intact	D
Tulca1_80352	ORM	intact	D
Sebve1_25948	ORM	intact	D
Sebve1_308061	ORM	intact	D
Sebve1_309370	ORM	intact	D
Sebve1_82633	ORM	disrupted	N
Sebve1_8744	ORM	intact	D
Rhier1_650072	ERM	intact	D
Chove1_1831061	ECM	intact	D
Chove1_1831717	ECM	intact	D
Chove1_1852004	ECM	intact	D
Serend1_1379936	ORM	intact	D
Serend1_481882	ORM	intact	D
Serend1_520666	ORM	intact	D
Schco3_2639534	WD	intact	D
Cenge3_690777	ECM	disrupted	E
Corcam1_706309	ECM	intact	D
Corcam1_712178	ECM	disrupted	N
Gyman1_921013	SAP	intact	D
Trire2_72567	SAP	intact	D
Hyafin1_922911	ERM	intact	D
Hyafin1_988787	ERM	intact	D
Hyavar1_208355	ERM	intact	D
Hyavar1_370662	ERM	intact	D
Hyavar1_465152	ERM	intact	D
Hyavar1_578451	ERM	intact	D
Melbi2_520981	ERM	intact	D
Melbi2_569150	ERM	intact	D
Tulsp812A_1_320058	ORM	intact	D
Tulsp812A_1_636774	ORM	intact	D
Tulsp812A_1_739032	ORM	intact	D
Tulsp812A_1_739085	ORM	intact	D
Tulsp812A_1_873348	ORM	intact	D
Bissp1_582565	SAP	disrupted	G
Bissp1_589854	SAP	intact	D
Bissp1_732613	SAP	intact	D
Bissp1_741956	SAP	intact	D
Fibsp1_746398	SAP	intact	D
Asppari1_327987	PATH	intact	D
Chalo1_370165	SAP	intact	D
Chalo1_383500	SAP	intact	D
Chalo1_493789	SAP	intact	D
Aurde3_1_1175661	WD	intact	D
Aurde3_1_1335548	WD	intact	D
Conpu1_117033	WD	intact	D
Geocar1_465176	ECM	intact	D
Geocar1_630135	ECM	intact	D
Geocar1_729632	ECM	intact	D
Pleost1_1204382	WD	intact	D
Pleost1_1219616	WD	intact	D
Pleost1_1268443	WD	intact	D
Crula1_602599	SAP	intact	D
Crula1_650995	SAP	intact	D
Crula1_696064	SAP	intact	D
Crula1_749618	SAP	intact	D
Phchr2_2965119	WD	intact	D
Neucr_trp3_1_7009	SAP	intact	D
Neucr_trp3_1_8490	SAP	intact	D
Neucr_trp3_1_9211	SAP	intact	D
Kurarg1_29926	ECM	intact	D
Stasp1_214192	PATH	intact	D
Stasp1_229169	PATH	disrupted	G
Stasp1_245479	PATH	intact	D
Stasp1_272926	PATH	intact	D
Stasp1_56427	PATH	intact	D
Jaaar1_191224	WD	intact	D
Jaaar1_51062	WD	disrupted	F
Jaaar1_55823	WD	intact	D
Sphst1_205833	WD	intact	D
Sphst1_61309	WD	intact	D
Sphst1_778038	WD	intact	D
Sphst1_782605	WD	intact	D
Amath1_135881	SAP	intact	D
Trihyb1_918210	ECM	intact	D
Oidma1_100584	ERM	intact	D
Oidma1_131688	ERM	intact	D
Wilmi1_651896	ECM	intact	D
Wilmi1_652125	ECM	intact	D
Altal1_1013983	PATH	intact	D
Altal1_556163	PATH	intact	D
Altal1_934429	PATH	intact	D
